website,category_scores/Asymmetric/iteration_1,category_scores/Covert/iteration_1,category_scores/Deceptive/iteration_1,category_scores/Hides Information/iteration_1,category_scores/Restrictive/iteration_1,overall_assessment/total_score/iteration_1,overall_assessment/max_possible_score,overall_assessment/summary/iteration_1,category_scores/Asymmetric/iteration_2,category_scores/Covert/iteration_2,category_scores/Deceptive/iteration_2,category_scores/Hides Information/iteration_2,category_scores/Restrictive/iteration_2,overall_assessment/total_score/iteration_2,overall_assessment/summary/iteration_2,category_scores/Asymmetric/iteration_3,category_scores/Covert/iteration_3,category_scores/Deceptive/iteration_3,category_scores/Hides Information/iteration_3,category_scores/Restrictive/iteration_3,overall_assessment/total_score/iteration_3,overall_assessment/summary/iteration_3
Society6,3,5,6,7,4,25,50,"The website employs several dark patterns, particularly in the use of asymmetric design and covert techniques. Some information, including the terms of the discount, is less visible, potentially causing confusion. However, the restrictions on user choices are not overly severe.",,,,,,,,3,4,6,5,2,20,"The website exhibits some dark patterns, particularly in the Deceptive category. The promotional offer lacks clarity regarding potential limitations, which are likely explained in the fine print, making it somewhat misleading. The site's design elements subtly push users towards the promotional offer, though it does not feel heavily restrictive or asymmetrically designed."
Etsy Australia,,,,,,,,,8,7,6,9,9,39,"The website employs several dark patterns, notably in Restrictive and Hides Information categories. The block message is asymmetric, offering no clear or equal alternatives to pursue further action. It covertly influences user perception of the situation by providing vague reasoning and no detailed options for resolution. Critical information about the actual cause and steps to resolve the block are hidden, creating a highly restrictive experience.",,,,,,,
Scoopon,7,5,4,6,7,29,50,"The website displays several dark patterns, with notable biases in presentation and some restrictions on user choices. Information is occasionally obscured, and certain actions subtly influence user decisions. The site has an overall moderate level of dark patterns present.",8,5,6,7,9,35,"The website exhibits several dark patterns, predominantly in the Restrictive, Asymmetric, and Hides Information categories. The user interface strongly favors signing up or logging in, with crucial information potentially obscured and user choices limited.",,,,,,,
Groupon Australia,0,0,0,0,0,0,50,"The screenshot displays a 'site can't be reached' error message, indicating that the webpage is temporarily down or has moved permanently. There are no elements to evaluate for dark patterns.",0,0,0,0,0,0,"The website is currently not accessible due to a protocol error, therefore no dark patterns can be evaluated at this time.",0,0,0,0,0,0,"The website is currently unreachable, resulting in no dark patterns being present or detectable in this instance."
DealsDirect,5,4,6,7,5,27,50,"The website employs a moderate number of dark patterns, with the most noticeable issues related to hidden information and mildly restrictive choices. The site also employs some deceptive tactics and asymmetric designs that favor certain actions over others, potentially subtly manipulating user decisions.",0,0,0,0,0,0,"The provided image does not display any elements of a website that can be analyzed for dark patterns. Hence, no dark patterns were detected in this analysis.",,,,,,,
CrazySales,,,,,,,,,5,3,5,6,4,23,"The website employs moderate levels of dark patterns, with notable emphasis on hiding information and partial deceptive elements. Though choices are available, there is a tendency toward mildly biased presentation and some covert techniques.",5,3,4,6,4,22,"The website shows some use of dark patterns, particularly in the categories of Hides Information and Asymmetric presentation. While there is a noticeable presentation bias in favor of certain products and limited information provided upfront, the overall manipulation is moderate."
Kogan Australia,8,7,6,8,9,38,50,"The website employs several dark patterns, with particularly high scores in Restrictive and Asymmetric categories. The user is presented with a blocked message with no clear and immediate options to resolve the issue, leaving their browsing options heavily restricted. Critical information on why the user was blocked is obscured or requires additional steps to decipher.",,,,,,,,8,6,5,7,9,35,"The website employs several dark patterns, with particularly high scores in Restrictive and Asymmetric categories. The page blocking access is very biased, offering no clear method to rectify the situation and provides limited information on why this action was taken."
MyDeal,,,,,,,,,,,,,,,,1,0,0,1,0,2,"The webpage is presenting a 403 error generated by CloudFront, indicating that the request could not be satisfied due to a block or configuration error. There are minimal indications of dark patterns present in this error page."
Dick Smith Australia,8,6,5,7,9,35,50,"The website employs several dark patterns, with particularly high scores in Asymmetric, Hides Information, and Restrictive categories. The presentation is noticeably biased with limited information provided, creating a restrictive user experience.",,,,,,,,,,,,,,
The Good Guys Australia,6,5,6,7,8,32,50,"The website shows several dark patterns, particularly in the areas of Hides Information and Restrictive categories. The presentation is biased towards certain promotions with crucial information being somewhat obscured or delayed.",,,,,,,,6,5,4,7,6,28,"The website employs several dark patterns. The scores indicate particularly noticeable bias in presenting options, covert techniques to influence user choices subtly, somewhat misleading information, and significant instances of important information being obscured or only revealed late in the process. Additionally, user choices are notably restricted."
JB Hi-Fi Australia,6,3,5,7,8,29,50,"The website demonstrates several dark patterns, with particularly high scores in Restrictive and Hides Information categories. The presentation shows a noticeable bias, especially in promoting the exclusive offer for members. Important information regarding the offer's restrictions is present but somewhat obscured in fine print.",7,5,6,8,7,33,"The website exhibits several dark patterns, with particularly high scores in Hides Information and Asymmetric categories. The promotion seems biased towards enticing users to join the membership program, with key terms and exclusions presented in smaller, less noticeable text. The information about exclusions and conditions for the $30 off coupon is somewhat obscured, and the offer is restrictive, applying only to certain products and requiring membership.",,,,,,,
Harvey Norman Australia,3,3,5,6,4,21,50,"The website displays moderate use of dark patterns. There is some asymmetric presentation, mild covert design, some deceptive information, and a moderate amount of hidden information. While not highly restrictive, it does force a security check that users may find inconvenient.",3,1,2,4,6,16,"The website employs some dark patterns but to a limited extent. The most notable issue is the restriction requiring users to solve a CAPTCHA, which imposes a minor barrier. There is mild asymmetry in the presentation, but the information is mostly transparent and not misleading.",,,,,,,
Bing Lee,,,,,,,,,7,6,6,9,9,37,"The website employs several dark patterns, with particularly high scores in Hides Information and Restrictive categories. There is considerable asymmetric presentation and covert influence aimed at obscuring the reasons for the block. The information given is somewhat deceptive and obscures the true nature of the restriction.",,,,,,,
Retravision,7,4,3,6,3,23,50,"The website demonstrates several dark patterns with a significant focus on asymmetry and hidden information. While the overall presentation is somewhat biased towards certain products, crucial information is relatively concealed and preference is given to highlighted deals, potentially affecting user choices.",7,4,5,6,4,26,"The website uses several dark patterns, notably in the Asymmetric category, where the presentation is noticeably biased toward promoting specific offers. Covert techniques are mildly present, with some elements designed to influence users subtly. Information is somewhat hidden, with promotional details and exclusions in small text.",,,,,,,
Appliances Online Australia,,,,,,,,,,,,,,,,6,3,4,5,2,20,"The website exhibits a mild to moderate use of dark patterns. There is a slight bias in visual presentation towards 'Hot Offers,' and some information requires additional steps to be obtained. However, the website does not exhibit severely deceptive or restrictive patterns."
Big Brown Box,,,,,,,,,3,5,4,6,2,20,"The website shows a few dark patterns, particularly in the Hides Information category. While the asymmetry and covert categories have moderate scores, the deceptive elements are also present but milder. The site does not highly restrict user choices.",,,,,,,
Winning Appliances,3,4,2,5,3,17,50,"The website shows moderate use of dark patterns, with higher scores in Covert and Hides Information categories. The presentation is slightly biased, and certain information requires additional steps to access, but overall, the site offers a fairly straightforward experience.",3,2,2,4,2,13,"The website generally maintains transparency and balance in presenting information and choices to users. Although there is some delay in accessing further information and mild bias in the presentation of options, dark patterns are not prominently employed. The user experience appears largely straightforward with minimal restrictions.",3,2,2,3,2,12,"The website has relatively few dark patterns with a slightly biased presentation, limited use of covert techniques, and minor instances of hidden or delayed information. Overall, user experience seems straightforward and not highly manipulative."
Gadget City,6,4,5,7,6,28,50,"The website employs several dark patterns, with particularly high scores in Hides Information and Asymmetric categories. There is a noticeable bias in the presentation of options, and some important information is not readily visible or only available after further navigation.",,,,,,,,2,3,2,4,2,13,"The website has a relatively low use of dark patterns. The presentation of choices is fairly balanced, with minor covert techniques and some delay in revealing information. Overall, the user experience is relatively transparent and not significantly restricted."
Camera House,6,4,5,6,7,28,50,"The website employs a number of dark patterns, with particularly high scores in the Asymmetric and Restrictive categories. Important information about pricing, stock availability, and delivery options is somewhat hidden, requiring selection of a specific store. The presentation biases users towards specific choices, and there are some subtle influences present in the design.",,,,,,,,3,4,2,5,6,20,"The website employs several mild dark patterns. The presentation is somewhat biased, with additional steps required to access certain information, and some restrictions on user choice."
Ted's Cameras,,,,,,,,,,,,,,,,,,,,,,
CameraPro,3,5,3,4,4,19,50,"The website employs a few dark patterns, with particularly noticeable use in the Covert category. The presentation has a mild bias, and some information is slightly delayed or requires additional steps to access. User freedom is somewhat limited but not overly restrictive.",,,,,,,,,,,,,,
Digital Camera Warehouse,,,,,,,,,4,3,5,6,2,20,"The website displays some dark patterns, particularly in the Hides Information and Deceptive categories. There is a slight bias in presentation and some information is not immediately clear. However, there are no strong restrictions on user choices, and overall the manipulation techniques used are relatively mild.",3,4,5,3,2,17,"The website employs few dark patterns. While the presentation is relatively neutral, there are some elements that may subtly influence user choices. Information is mostly accessible, and user freedom is largely unrestricted."
Georges Cameras,7,4,5,6,5,27,50,"The website shows signs of using some dark patterns, with a particularly high score in the Asymmetric category. There is noticeable bias in the presentation of choices, and some important information might be delayed or obscured. However, there is still a reasonable level of transparency and choice for users.",,,,,,,,6,4,5,3,5,23,"The website uses some dark patterns, primarily in the use of promotional elements and somewhat restricted alternative options. The presentation of choices is noticeably biased towards the Spring Sale, though it doesn't obscure information too severely. While there is some manipulation, it isn't extremely covert or misleading."
Andrews Communications,,,,,,,,,5,5,2,8,7,27,"The warning page employs some dark patterns. 'Hides Information' scores high since information on bypassing the page is buried under the 'Advanced' button. The 'Restrictive' score is notable as user choices are geared towards going 'Back to safety'. The presentation is moderately biased towards not proceeding further and includes subtle influence through security warnings without misleading information, leading to moderate 'Asymmetric' and 'Covert' scores.",,,,,,,
Radio Parts,5,4,3,5,2,19,50,"The website exhibits some dark patterns, particularly in Asymmetric and Hides Information categories. There is a noticeable bias in the presentation of choices and some important information requires additional steps to access, but overtly deceptive practices and extreme restrictions are minimal.",,,,,,,,,,,,,,
Jaycar,,,,,,,,,,,,,,,,4,3,5,6,3,21,"The website displays a mild use of dark patterns. The most noticeable issues are the minor bias in the presentation of options and the vague information regarding the '9-DAY BARGAIN BUYS' and 'UP TO 60% OFF' offers, which could benefit from more clarity. Most choices are relatively transparent, and restrictions are minimal."
Altronics,,,,,,,,,4,3,5,7,6,25,"The website uses several dark patterns, with moderate scores across multiple categories. There is a noticeable bias in the presentation of choices, some hidden information, and certain restrictions forcing users to act in specific ways.",6,4,5,6,3,24,"The website exhibits some dark patterns, particularly in the areas of Asymmetric and Hides Information. The design slightly biases the user towards certain actions, and some information is not immediately clear or readily accessible. However, user choice is not overly restricted."
Element 14,6,5,3,4,3,21,50,"The website demonstrates several dark patterns, with a bias towards promoting participation in the review process. There is a noticeable use of time pressure and a bias towards certain actions, although the overall restrictions and misleading elements are moderate.",,,,,,,,,,,,,,
Core Electronics,,,,,,,,,,,,,,,,,,,,,,
RS Components,,,,,,,,,,,,,,,,,,,,,,
Mouser Electronics,,,,,,,,,,,,,,,,,,,,,,
Digikey,6,5,4,5,7,27,50,"The website exhibits several dark patterns, especially in the Asymmetric and Restrictive categories. The CAPTCHA mechanism forces users to perform a specific action that may inconvenience them, biased presentation directs user action, information about why the verification is needed is not fully transparent, and it includes mildly covert design elements.",,,,,,,,2,3,2,2,3,12,"The website presents an interactive human verification step which is fairly straightforward and not significantly biased. The design does not heavily obscure information or restrict user action, allowing for a mostly clear and transparent user experience."
Sparkfun,4,3,2,6,5,20,50,"The website demonstrates a moderate use of dark patterns. It shows some level of asymmetry in presenting options and subtly influences user decisions. While not overtly deceptive, it does obscure some information, requiring users to proceed through additional steps.",2,3,3,2,7,17,"The website employs a few dark patterns, primarily in the Restrictive category. Users have limited freedom in their choices as they must complete the 'security check' to proceed. The presentation is mostly straightforward with minor covert and deceptive elements but is not heavily biased or hiding crucial information.",6,3,2,3,7,21,"The website employs some dark patterns. The options are presented with a noticeable bias towards completing the security check, and alternative actions are somewhat obscured or not provided. The restrictive nature of the step is evident, as completing the CAPTCHA is necessary to proceed. However, the intention behind the security check is justified to prevent spam and verify human users."
Adafruit,,,,,,,,,,,,,,,,3,1,1,2,2,9,The website has minimal employment of dark patterns. There is a mild bias in the presentation of choices and a relatively clear and straightforward display of information. User restrictions and hidden information are limited.
Little Bird Electronics,,,,,,,,,,,,,,,,4,3,2,3,2,14,"The website employs minimal dark patterns, with modest scores in Asymmetric and Hides Information categories. The presentation and availability of information are generally fair, with only a few elements that could potentially influence the user's choices subtly."
Element 14 Australia,0,0,0,0,0,0,50,"The website is currently unreachable with an error indicating it might be temporarily down or have moved to a new web address. As a result, no dark patterns can be analyzed at this time.",0,0,0,0,0,0,"The website cannot be reached, therefore no dark patterns are detected or assessed. This may be a temporary issue or the website may have moved permanently to a new address.",0,0,0,0,0,0,"The website is currently unreachable due to an HTTP2 protocol error. As a result, an assessment of dark patterns cannot be performed."
Arduino Australia,,,,,,,,,,,,,,,,,,,,,,
Microchip,,,,,,,,,,,,,,,,0,0,0,10,10,20,The website is extremely restrictive and hides crucial information since access to it is denied completely. Users are unable to interact with the website or retrieve any information from it.
Texas Instruments,1,2,2,3,2,10,50,"The website appears to be straightforward and user-friendly without significant use of dark patterns. Information is presented in a clear manner, and there is an even balance in visual and interactive prominence of choices. There are minimal covert techniques used, and necessary information is readily accessible, with only slight delays observed.",2,1,1,2,0,6,"The website employs minimal dark patterns. Choices appear symmetrical and transparent, with no notable use of deceptive or covert techniques. Information is readily available and there are no significant restrictions on user actions.",,,,,,,
Seeed Studio,3,4,2,3,2,14,50,"The website shows a mild use of dark patterns. Asymmetry in design is present but not overly biased, and there are minor covert techniques that may subtly influence user choices. There is no significant misleading information or overly hidden details, and user choices are mostly unrestricted.",,,,,,,,3,4,3,3,2,15,"The website presents a few mild dark patterns. The site's layout and information are relatively clear and straightforward, with minimal bias or deceptive practices. Users have reasonable freedom in making choices, and most information is readily accessible without significant effort."
Pololu,,,,,,,,,3,2,2,2,2,11,"The website has minimal use of dark patterns. While there is slight emphasis on the sale with a large banner, other information and navigation options are readily accessible. The design is largely straightforward and does not employ significant manipulative techniques.",5,3,5,6,4,23,"The website exhibits some dark patterns in its design. The 'Labor Day Sale' advertisement is prominently displayed and encourages user interaction, while alternative interactions are less prominent. Information about the sale details is somewhat hidden, requiring further clicks. The design could subtly influence user behavior with the prominent positioning of certain options over others. Overall, there are some restrictive, asymmetric, and covert elements present."
RobotShop,,,,,,,,,,,,,,,,,,,,,,
Robotics Australia,3,2,1,4,3,13,50,"The website has a relatively low use of dark patterns. The presentation of choices is slightly asymmetric, and some information may require additional steps to access. Overall, the design does not heavily restrict or deceive users.",,,,,,,,,,,,,,
ServoCity,,,,,,,,,,,,,,,,4,5,2,3,2,16,"The website employs some dark patterns, but they are not particularly severe. The presentation is mildly biased, with slight attempts to influence user behavior through cookie consent and promotional banners. Important information is generally available with only some minor delays or additional steps."
Nuts and Volts,5,4,3,3,2,17,50,"The website shows some tendencies towards dark patterns, with moderately biased presentation and some use of subtle design elements that may influence user choices. Information is generally accessible but could be organized more transparently.",4,3,2,5,2,16,"The website employs a few dark patterns, primarily in the areas of Asymmetric design and Hiding Information. Some options or alternatives might be less prominently displayed, and certain information requires additional navigation steps to access.",2,3,2,4,2,13,"The website employs minimal dark patterns. Although there is a hint of covert influence with a prominent advertisement, there is relatively balanced presentation and transparency of information. The main content is easily accessible, with limited restriction on user choices."
Make,,,,,,,,,5,4,6,5,7,27,"The popup contains several dark patterns. The presentation mildly biases the user's actions, employs some subtle influencing techniques, and contains elements that could be considered misleading. It partially hides information and imposes certain restrictive choices on the user.",6,7,6,5,4,28,"The website employs several dark patterns, notably using urgency and promotional elements prominently. The presentation shows bias, and there is a notable use of covert techniques influencing decisions. Important information is sometimes slightly delayed or hidden, but there are alternative options available, albeit with some restrictions."
Digi-Key Australia,,,,,,,,,,,,,,,,5,3,4,3,6,21,"The website employs some dark patterns, though not excessively. The captcha mechanism imposes a noticeable restriction, and there is a mild bias in the presentation. However, there are no significant deceptive elements or hidden information."
RS Components Australia,,,,,,,,,4,3,4,5,2,18,"The website has mild utilization of dark patterns with bias in choice presentation and some hidden information or misleading elements, though not heavily manipulative or restrictive.",4,3,2,5,2,16,"The website has mild instances of dark patterns. The presentation is somewhat biased towards highlighted options, some information requires additional steps to access, but there are no significant deceptive or restrictive elements present."
